team_id,team_name,confederation,group,fifa_ranking,elo_rating,attack_rating,defense_rating,midfield_rating,goalkeeper_rating,squad_depth,recent_form,experience,penalty_rating,discipline_rating,pressing_intensity,tactical_style,home_advantage,travel_fatigue_base
KSA,Saudi Arabia,AFC,H,58,1418.0,80.8,81.8,81.3,80.8,82.8,82.8,82.8,82.8,0.91,0.7,direct,0.0,0.43
CPV,Cape Verde,CAF,H,68,1362.0,80.2,79.2,79.7,78.2,81.2,81.2,81.2,81.2,0.9,0.69,pressing,0.0,0.43
FRA,France,UEFA,I,1,1877.32,94,94,94,94,92,92,95,93,0.96,0.8,possession,0.0,0.33
SEN,Senegal,CAF,I,19,1625.0,90.1,89.1,91.6,90.1,89.1,89.1,89.1,91.1,0.94,0.77,balanced,0.0,0.43
NOR,Norway,UEFA,I,33,1522.0,91.8,87.8,89.8,86.8,89.8,86.8,86.8,86.8,0.93,0.75,direct,0.0,0.33
IRQ,Iraq,AFC,I,59,1410.0,80.6,80.6,80.6,79.6,82.6,82.6,82.6,82.6,0.91,0.7,pressing,0.0,0.43
ARG,Argentina,CONMEBOL,J,3,1874.81,93.7,92.7,94,93.7,91.7,92,95,93,0.96,0.8,possession,0.0,0.33
AUT,Austria,UEFA,J,25,1568.0,91.1,90.1,90.6,89.1,91.1,88.1,88.1,88.1,0.94,0.76,balanced,0.0,0.33
ALG,Algeria,CAF,J,38,1500.0,87.0,85.0,86.0,84.0,86.0,86.0,86.0,86.0,0.93,0.74,direct,0.0,0.43
JOR,Jordan,AFC,J,64,1382.0,83.8,79.8,81.8,78.8,81.8,81.8,81.8,81.8,0.91,0.69,pressing,0.0,0.43
POR,Portugal,UEFA,K,5,1763.83,92.4,94,94,94,92,92,95,93,0.96,0.79,possession,0.0,0.33
COD,DR Congo,CAF,K,60,1404.0,81.4,82.4,81.9,81.4,82.4,82.4,82.4,82.4,0.91,0.7,balanced,0.0,0.43
UZB,Uzbekistan,AFC,K,55,1434.0,83.3,82.3,82.8,81.3,83.3,83.3,83.3,83.3,0.91,0.71,direct,0.0,0.43
COL,Colombia,CONMEBOL,K,13,1680.0,94,88.1,93.0,89.1,90.1,92,90.1,92.1,0.95,0.78,pressing,0.0,0.33
ENG,England,UEFA,L,4,1825.97,94,94,94,94,92,92,95,93,0.96,0.79,possession,0.0,0.33
CRO,Croatia,UEFA,L,11,1696.0,91.4,92.4,93.9,93.4,92,92,95,92.4,0.95,0.78,balanced,0.0,0.33
GHA,Ghana,CAF,L,47,1469.0,83.6,83.6,83.6,82.6,84.6,84.6,84.6,84.6,0.92,0.72,direct,0.0,0.43
PAN,Panama,CONCACAF,L,35,1515.0,86.5,84.5,85.5,83.5,86.5,86.5,86.5,86.5,0.93,0.74,pressing,0.0,0.33
